Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/21/2017
Test time,15:31:19
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,V4
1.53,1.8608E-05,-1.734E-08,0,0.05,-0.3,
1.548,1.8894E-05,-3.755E-07,0,0.05,-0.3,
1.566,1.915E-05,4.5358E-07,0,0.05,-0.3,
1.584,1.9416E-05,5.585E-07,0,0.05,-0.3,
1.602,1.964E-05,-8.368E-08,0,0.05,-0.3,
1.62,1.9904E-05,2.3072E-07,0,0.05,-0.3,
1.638,2.0152E-05,-4.1982E-07,0,0.05,-0.3,
1.656,2.0392E-05,5.6138E-07,0,0.05,-0.3,
1.674,2.0638E-05,-1.554E-08,0,0.05,-0.3,
1.692,2.0874E-05,-3.2106E-07,0,0.05,-0.3,
1.71,2.1104E-05,4.361E-07,0,0.05,-0.3,
1.728,2.1332E-05,1.7498E-07,0,0.05,-0.3,
1.746,2.1538E-05,-2.144E-07,0,0.05,-0.3,
1.764,2.1772E-05,4.0778E-07,0,0.05,-0.3,
1.782,2.1998E-05,-4.7284E-07,0,0.05,-0.3,
1.8,2.2214E-05,2.16E-08,0,0.05,-0.3,
0,1.0788E-09,-6.516E-08,0,0.05,-0.4,
0.018,-1.0666E-09,-4.649E-07,0,0.05,-0.4,
0.036,1.1492E-09,4.7708E-07,0,0.05,-0.4,
0.054,-1.1548E-09,-4.8356E-07,0,0.05,-0.4,
0.072,1.2144E-09,5.4364E-07,0,0.05,-0.4,
0.09,-1.2164E-09,-4.7788E-07,0,0.05,-0.4,
0.108,1.2417E-09,5.564E-07,0,0.05,-0.4,
0.126,-1.2333E-09,-3.9276E-07,0,0.05,-0.4,
0.144,9.328E-10,-2.134E-08,0,0.05,-0.4,
0.162,1.2485E-09,-3.55E-07,0,0.05,-0.4,
0.18,-8.4E-10,1.498E-08,0,0.05,-0.4,
0.198,9.969E-10,2.286E-07,0,0.05,-0.4,
0.216,1.3658E-09,-3.8878E-07,0,0.05,-0.4,
0.234,1.5035E-09,-4.8948E-07,0,0.05,-0.4,
0.252,1.6822E-09,-4.2668E-07,0,0.05,-0.4,
0.27,-6.29E-11,1.606E-08,0,0.05,-0.4,
0.288,2.2504E-09,3.227E-07,0,0.05,-0.4,
0.306,1.3944E-09,-3.854E-07,0,0.05,-0.4,
0.324,4.8165E-09,3.929E-07,0,0.05,-0.4,
0.342,5.3353E-09,-4.3818E-07,0,0.05,-0.4,
0.36,1.11712E-08,5.2718E-07,0,0.05,-0.4,
0.378,1.62418E-08,6.242E-08,0,0.05,-0.4,
0.396,2.83286E-08,-4.972E-08,0,0.05,-0.4,
0.414,4.31584E-08,-1.9318E-07,0,0.05,-0.4,
0.432,6.39842E-08,-1.398E-07,0,0.05,-0.4,
0.45,9.33306E-08,-1.3392E-07,0,0.05,-0.4,
0.468,1.334E-07,2.8316E-07,0,0.05,-0.4,
